PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
10107,04/11/2021,252,0.7305%,0.0011,1.0570,-0.4384,-0.4066,0.0326,0.7737%,1.2993%,64.5427%,-0.2379%,MSFT
10107,17/03/2021,252,-0.2819%,-0.0001,1.1420,-0.2000,-0.4780,0.0081,0.9243%,2.0947%,80.5299%,-0.4202%,MSFT
10107,12/11/2021,252,1.2905%,0.0011,1.0272,-0.4237,-0.4027,0.0365,0.7590%,1.2522%,63.2614%,0.0289%,MSFT
10107,19/03/2018,252,-1.8076%,0.0003,1.2123,-0.2653,-0.5623,0.4104,0.6733%,1.1601%,66.3174%,-0.0134%,MSFT
10107,22/11/2021,252,-0.9560%,0.0013,1.0135,-0.4189,-0.4024,0.0426,0.7556%,1.2465%,63.2561%,0.5423%,MSFT
10107,21/05/2019,252,0.5387%,0.0007,1.2647,-0.2836,-0.3430,0.5406,0.7243%,1.6141%,79.8629%,-0.2374%,MSFT
10107,29/03/2018,252,2.1031%,0.0003,1.2934,-0.2963,-0.5145,0.4593,0.7159%,1.3174%,70.4701%,-0.2109%,MSFT
10107,07/03/2018,252,0.5787%,0.0003,1.1925,-0.2668,-0.5713,0.4117,0.6693%,1.1358%,65.2716%,0.1567%,MSFT
10107,25/01/2021,252,1.5844%,0.0000,1.2384,-0.2870,-0.4980,0.0259,0.9722%,2.7890%,87.8485%,0.9830%,MSFT
10107,30/03/2021,252,-1.4411%,-0.0000,1.1571,-0.3362,-0.4481,0.0096,0.8980%,1.8970%,77.5924%,-0.4715%,MSFT
10107,04/12/2018,252,-3.1849%,0.0006,1.2058,-0.3873,-0.3911,0.6131,0.7131%,1.6472%,81.2595%,0.0197%,MSFT
10107,11/09/2020,252,-0.6525%,0.0003,1.2435,-0.1932,-0.5076,0.0470,0.9176%,2.6615%,88.1144%,-0.2650%,MSFT
10107,21/03/2017,252,-1.1089%,0.0002,1.3544,-0.4251,-0.4204,0.2034,0.8511%,1.1670%,46.8162%,0.3989%,MSFT
10107,01/07/2020,252,0.5847%,0.0007,1.2265,-0.1856,-0.4831,0.0652,0.8012%,2.5395%,90.0454%,-1.5569%,MSFT
10107,28/11/2018,252,3.7148%,0.0006,1.1965,-0.3858,-0.4101,0.6453,0.7235%,1.6553%,80.8932%,-0.1432%,MSFT
10107,29/09/2020,252,-1.0409%,0.0001,1.2390,-0.2186,-0.4969,0.0523,0.9221%,2.6781%,88.1443%,-1.1027%,MSFT
10107,15/08/2018,252,-1.3509%,0.0006,1.2296,-0.4156,-0.5366,0.5373,0.7031%,1.4084%,75.0757%,0.0702%,MSFT
10107,13/08/2018,252,-0.7248%,0.0006,1.2300,-0.4108,-0.5440,0.5264,0.7038%,1.4060%,74.9393%,-0.3819%,MSFT
10107,07/08/2020,252,-1.7888%,0.0005,1.2393,-0.1708,-0.5061,0.0666,0.8664%,2.5926%,88.8319%,-0.3199%,MSFT
10107,04/04/2018,252,2.9205%,0.0004,1.3010,-0.3053,-0.5233,0.4527,0.7192%,1.3454%,71.4251%,1.3082%,MSFT
10107,14/08/2020,252,0.0958%,0.0004,1.2412,-0.1804,-0.5040,0.0709,0.8709%,2.5932%,88.7220%,0.7556%,MSFT
10107,11/05/2018,252,-0.2145%,0.0003,1.2869,-0.3387,-0.4988,0.4542,0.7300%,1.4047%,72.9941%,-0.6771%,MSFT
10107,14/01/2020,252,-0.7043%,0.0003,1.3005,-0.4279,-0.4566,0.0820,0.6231%,1.2031%,73.1777%,-0.4770%,MSFT
10107,09/06/2017,252,-2.2655%,0.0007,1.2725,-0.3011,-0.4485,0.2325,0.7168%,1.0307%,51.6316%,-0.7513%,MSFT
10107,17/06/2020,252,0.3461%,0.0006,1.2290,-0.2234,-0.5034,0.0489,0.7988%,2.5300%,90.0300%,-0.4980%,MSFT
10107,14/10/2019,252,-0.0931%,0.0004,1.3215,-0.3542,-0.3167,0.2616,0.7308%,1.6601%,80.6225%,-0.0413%,MSFT
10107,21/08/2018,252,-0.8328%,0.0005,1.2237,-0.4374,-0.5559,0.5375,0.7077%,1.4051%,74.6303%,-0.8866%,MSFT
10107,18/05/2018,252,0.1871%,0.0004,1.2897,-0.3609,-0.5172,0.4291,0.7225%,1.3904%,73.0022%,0.1061%,MSFT
10107,31/08/2018,252,0.3394%,0.0005,1.2194,-0.4380,-0.5710,0.5469,0.7066%,1.4053%,74.7197%,0.0662%,MSFT
10107,17/04/2018,252,2.0176%,0.0003,1.2836,-0.3073,-0.5124,0.4571,0.7222%,1.3732%,72.3389%,-0.4441%,MSFT
10107,04/09/2018,252,-0.5519%,0.0005,1.2268,-0.4238,-0.5689,0.5314,0.7074%,1.4037%,74.6049%,-0.9926%,MSFT
10107,09/07/2019,252,-0.3651%,0.0004,1.2962,-0.3892,-0.4127,0.3912,0.7425%,1.6451%,79.6310%,-0.9704%,MSFT
10107,14/09/2018,252,0.4074%,0.0005,1.2241,-0.4296,-0.5551,0.5711,0.7088%,1.4176%,75.0027%,0.5900%,MSFT
10107,19/01/2017,252,-0.3200%,0.0003,1.4525,-0.4280,-0.3975,0.2862,0.9055%,1.3641%,55.9431%,-0.0761%,MSFT
10107,12/09/2019,252,1.0285%,0.0005,1.3141,-0.3475,-0.3500,0.2691,0.7380%,1.6861%,80.8410%,0.3108%,MSFT
10107,25/06/2018,252,-2.0118%,0.0005,1.2563,-0.3606,-0.5375,0.4629,0.7124%,1.3875%,73.6383%,0.4940%,MSFT
10107,29/05/2018,252,-0.3558%,0.0005,1.2896,-0.3580,-0.5385,0.4128,0.7237%,1.3914%,72.9438%,1.0000%,MSFT
10107,06/06/2018,252,0.2936%,0.0004,1.2819,-0.3505,-0.5409,0.4080,0.7150%,1.3888%,73.4940%,-0.8396%,MSFT
10107,26/04/2017,252,-0.1325%,0.0006,1.2952,-0.3488,-0.3444,0.1561,0.7290%,1.0499%,51.7805%,0.2169%,MSFT
10107,29/11/2019,252,-0.6171%,0.0002,1.2573,-0.4833,-0.5011,0.0389,0.6596%,1.4454%,79.1744%,-0.2691%,MSFT
10107,15/01/2020,252,0.6476%,0.0003,1.2897,-0.4329,-0.4612,0.0685,0.6201%,1.1913%,72.9079%,0.2536%,MSFT
